robot,window,count,rmse,mean,pstd,mean_dt
a,1,328,0.10813021789546821,0.08283593470850281,0.06950073339965623,1.0
a,10,319,0.43612461130098845,0.3886905329513028,0.19779875170604713,10.0
a,50,279,0.921305236840015,0.8799810559548031,0.2728308644371188,50.0
b,1,530,1.3658379819981774,0.4854917110214609,1.276640588262142,1.0
b,10,521,2.28984439349809,1.5439547331986596,1.6910325627462321,10.0
b,50,481,5.075223131394324,4.479136142132021,2.3864679452460074,50.0
c,1,164,0.24323583073377986,0.12581966381224255,0.2081659951839547,1.0
c,10,155,0.4996475030604063,0.43062388791760153,0.25339829215925574,10.0
c,50,115,0.8308771145016096,0.7802680081739198,0.285549671375795,50.0
