robot,window,count,rmse,mean,pstd,mean_dt
a,1,1346,0.3233471445685536,0.11244963551732957,0.30316407335411116,1.0
a,10,1337,1.3266630947999432,0.8891521578785165,0.9846031724731243,10.0
a,50,1297,3.993164133539061,3.2061354382452967,2.3803477369935675,50.0
b,1,616,0.4621075300405942,0.1466496713743497,0.43822054174355385,1.0
b,10,607,0.943558641675159,0.7752137553223867,0.5379094197342479,10.0
b,50,567,3.012399347164626,2.7023022749485275,1.331207061882513,50.0
c,1,1070,0.9673740105112341,0.3106694922280217,0.916131509561467,1.0
c,10,1061,1.2382158065738478,0.8915306329088848,0.8592738295993934,10.0
c,50,1021,2.7033282715169675,2.3673693705583436,1.3051996042464575,50.0
