robot,window,count,rmse,mean,pstd,mean_dt
a,1,311,0.11692794864471029,0.09023499007618757,0.07436256948364776,1.0
a,10,302,0.6641424569489826,0.5882416292127755,0.30831313430233614,10.0
a,50,262,1.992916840493799,1.8006785399776646,0.8539756019861996,50.0
b,1,566,1.346460918894892,0.5982120175472165,1.2062750052012878,1.0
b,10,557,1.2135922699671442,0.8625544261834581,0.8537013878372991,10.0
b,50,517,2.3768478360777316,2.1124284006426324,1.0895191086097586,50.0
c,1,161,0.32500981810690394,0.149433751439631,0.28861901496013975,1.0
c,10,152,0.6912820445737046,0.5858287328503076,0.3669816901658778,10.0
c,50,112,1.2102354549060044,1.1041643419835503,0.4954704453381423,50.0
