key,x,y,z,qw,qx,qy,qz
6989586621679011065,210.45455133630693,-36.090786011186516,7.628842223547906,1.0,0.0,0.0,0.0
6989586621679011066,208.60615445713879,-34.915075332253046,7.6162692747693015,1.0,0.0,0.0,0.0
6989586621679011067,206.61705384117238,-33.57184652542322,7.559714077240977,1.0,0.0,0.0,0.0
6989586621679011068,204.8920960435788,-32.386344562314804,7.575158104233253,1.0,0.0,0.0,0.0
6989586621679011069,203.23482125047968,-31.22855427619942,7.516019178465686,1.0,0.0,0.0,0.0
6989586621679011070,201.22939399629206,-29.811582046277756,7.522115546552457,1.0,0.0,0.0,0.0
6989586621679011071,199.31113024591673,-28.53249019631747,7.50408617379564,1.0,0.0,0.0,0.0
6989586621679011072,197.6568557429051,-27.075310623571767,7.459065468576593,1.0,0.0,0.0,0.0
6989586621679011073,196.33178706833945,-25.46681860755638,7.464450543902088,1.0,0.0,0.0,0.0
6989586621679011074,195.253575241776,-23.557396810500418,7.504554395918041,1.0,0.0,0.0,0.0
6989586621679011075,194.44723360907574,-21.422277872856004,7.581878438951904,1.0,0.0,0.0,0.0
6989586621679011076,193.92234543519885,-19.083285118510645,7.6416518231070585,1.0,0.0,0.0,0.0
6989586621679011077,193.7346158993255,-16.853265514101974,7.703851289488718,1.0,0.0,0.0,0.0
6989586621679011078,193.63090853426914,-14.783832804948613,7.769139292585486,1.0,0.0,0.0,0.0
6989586621679011079,193.30246557396745,-12.547637777533845,7.802620260067913,1.0,0.0,0.0,0.0
6989586621679011080,192.50299191559648,-10.448697683967339,7.854494046804997,1.0,0.0,0.0,0.0
6989586621679011081,191.35055704828966,-8.680474573834962,7.892887778502445,1.0,0.0,0.0,0.0
6989586621679011083,187.39767637187282,-6.757994750857843,7.802343810436951,1.0,0.0,0.0,0.0
6989586621679011084,184.9641105174664,-6.5469336188662846,7.850056779636926,1.0,0.0,0.0,0.0
6989586621679011085,182.735768472984,-6.368862980129757,7.7877721048883775,1.0,0.0,0.0,0.0
6989586621679011086,180.48857568077463,-6.182372103418256,7.7872579634868675,1.0,0.0,0.0,0.0
6989586621679011087,178.34338356928538,-5.9341188382901775,7.772323828879326,1.0,0.0,0.0,0.0
6989586621679011088,176.02000505909626,-5.469063137777722,7.7879580552508765,1.0,0.0,0.0,0.0
6989586621679011089,173.67936016521625,-4.526474676263384,7.777929916664515,1.0,0.0,0.0,0.0
