robot,window,count,rmse,mean,pstd,mean_dt
a,1,1151,0.25315460114901805,0.11282997698704997,0.22662005289916465,1.0
a,10,1142,1.211972595732196,0.8409388708389905,0.8727539105142288,10.0
a,50,1102,3.2471365536207433,2.6661749008356264,1.8534851485820225,50.0
b,1,613,0.5793421718468561,0.18183673772208156,0.5500661350190748,1.0
b,10,604,0.8778959351533824,0.7037426278864612,0.5248310077103767,10.0
b,50,564,2.414642131536658,2.2932700751158275,0.75591599134437,50.0
c,1,1019,1.3555264235371356,0.554833208777587,1.2367748361544815,1.0
c,10,1010,1.5394091231691978,1.0714417214297869,1.1053474956212344,10.0
c,50,970,2.5980408141704205,2.2156094152543493,1.3567943805645624,50.0
