robot,window,count,rmse,mean,pstd,mean_dt
a,1,215,0.2168633374579143,0.15008980442957168,0.1565335674533682,1.0
a,10,206,1.2249577031232517,1.025364059792056,0.6701864810093884,10.0
a,50,166,2.4495968668995833,2.1254918573594255,1.2177065223702435,50.0
b,1,575,1.9475259768384001,1.2088487511614345,1.5269388092768503,1.0
b,10,566,1.625537615851971,1.225384386205463,1.0680850371546131,10.0
b,50,526,2.71604788751119,2.393474603028042,1.2838206463185424,50.0
c,1,248,2.543191827530398,0.40295034865280016,2.5110666435078928,1.0
c,10,239,2.032607346332827,0.8584147476183271,1.842448573349482,10.0
c,50,199,2.4921718824962285,1.621272848907306,1.8927215963529296,50.0
