robot,window,count,rmse,mean,pstd,mean_dt
a,1,1346,0.156289482932202,0.11035332110221094,0.11067315391244341,1.0
a,10,1337,0.8939883372916794,0.7930957909191206,0.41257025297507227,10.0
a,50,1297,3.0183844088029756,2.691836083008825,1.3655266169198614,50.0
b,1,616,0.6907418851553346,0.21855051500784264,0.6552556938308521,1.0
b,10,607,1.5345551350775664,1.206223869614862,0.948621863001416,10.0
b,50,567,5.164590378558247,4.2642737701491455,2.91358250123699,50.0
c,1,1069,1.165399194120858,0.397591801686943,1.0954798222189561,1.0
c,10,1060,1.3848160436822299,0.9925846930401061,0.965655788561422,10.0
c,50,1020,3.0312269308525956,2.679718637308749,1.416843227455392,50.0
