robot,window,count,rmse,mean,pstd,mean_dt
a,1,658,114.28528550684862,6.857804768200226,114.07934518195287,1.0
a,10,649,364.88427593107286,68.70603164786529,358.35738591097277,10.0
a,50,609,686.3475902294733,239.36509060264248,643.2552899235219,50.0
b,1,421,705.8207839062967,70.98618897240029,702.2420807451472,1.0
b,10,412,874.21678193038,113.40786527116934,866.8296475682785,10.0
b,50,372,751.0156780657243,100.1239165017119,744.3115947268843,50.0
c,1,520,3.103396764086471,1.055081321343653,2.9185398542240453,1.0
c,10,511,4.000905330510648,2.062233889512749,3.4284741283337143,10.0
c,50,471,4.965158413132968,3.3670517538886275,3.649076671452739,50.0
